dataset,replicate,prime,amplitude,rate,phase
phase_scrambled,1,107,0.09667364890456635,4.672828834461906,-2.4656379745488186
phase_scrambled,1,109,0.09578262852211514,4.6913478822291435,-0.32460868301779655
phase_scrambled,1,113,0.09407208683835973,4.727387818712341,-2.425498144900421
phase_scrambled,1,127,0.08873565094161139,4.844187086458591,-2.8741261232380624
phase_scrambled,1,131,0.0873704056661038,4.875197323201151,-0.6305872468193443
phase_scrambled,1,137,0.0854357657716761,4.919980925828125,2.629157784385135
phase_scrambled,1,139,0.08481889296799709,4.9344739331306915,-3.114829831347869
phase_scrambled,1,149,0.08192319205190406,5.003946305945459,-0.7227128908014446
phase_scrambled,1,151,0.08137884587711594,5.017279836814924,0.9487127078533018
phase_scrambled,1,157,0.07980868844676221,5.056245805348308,-2.3114480791113547
phase_scrambled,1,163,0.07832604499879574,5.093750200806762,-1.5011715747615957
phase_scrambled,1,167,0.07738232325341368,5.117993812416755,-2.5063790088788895
phase_scrambled,1,173,0.07602859212697055,5.153291594497779,-2.9145536776464094
phase_scrambled,1,179,0.07474350927519359,5.187385805840755,-1.9012573560135315
phase_scrambled,1,181,0.07432941462471664,5.198497031265826,-1.9882755844659434
phase_scrambled,1,191,0.07235746052924216,5.25227342804663,-2.3364783493615997
phase_scrambled,1,193,0.07198157507486945,5.262690188904886,-1.453191238445877
phase_scrambled,1,197,0.07124704998790965,5.2832037287379885,-1.4356850316878302
phase_scrambled,1,199,0.07088812050083358,5.293304824724492,-1.6071095055512974
phase_scrambled,1,211,0.06884283908215143,5.351858133476067,-0.524619070013955
shuffled_rates,0,2,0.7071067811865475,1.0986122886681098,0.0
shuffled_rates,0,3,0.5773502691896258,1.6094379124341003,0.0
shuffled_rates,0,5,0.4472135954999579,0.6931471805599453,0.0
shuffled_rates,0,7,0.3779644730092272,1.9459101490553132,0.0
shuffled_rates,0,11,0.30151134457776363,2.3978952727983707,0.0
shuffled_rates,0,13,0.2773500981126146,2.833213344056216,0.0
shuffled_rates,0,17,0.24253562503633297,2.5649493574615367,0.0
shuffled_rates,0,19,0.22941573387056174,2.9444389791664403,0.0
shuffled_rates,0,23,0.20851441405707477,3.367295829986474,0.0
shuffled_rates,0,29,0.18569533817705186,3.1354942159291497,0.0
shuffled_rates,0,31,0.1796053020267749,3.6109179126442243,0.0
shuffled_rates,0,37,0.1643989873053573,3.4339872044851463,0.0
shuffled_rates,0,41,0.15617376188860607,3.7612001156935624,0.0
shuffled_rates,0,43,0.15249857033260467,3.8501476017100584,0.0
shuffled_rates,0,47,0.14586499149789456,3.713572066704308,0.0
shuffled_rates,0,53,0.13736056394868904,3.970291913552122,0.0
shuffled_rates,0,59,0.13018891098082389,4.110873864173311,0.0
shuffled_rates,0,61,0.12803687993289598,4.07753744390572,0.0
shuffled_rates,0,67,0.12216944435630522,4.204692619390966,0.0
shuffled_rates,0,71,0.11867816581938533,4.2626798770413155,0.0
shuffled_rates,0,73,0.11704114719613057,4.3694478524670215,0.0
shuffled_rates,0,79,0.1125087900926024,4.48863636973214,0.0
shuffled_rates,0,83,0.10976425998969035,4.61512051684126,0.0
shuffled_rates,0,89,0.105999788000636,4.418840607796598,0.0
shuffled_rates,0,97,0.10153461651336192,4.574710978503383,0.0
shuffled_rates,0,101,0.09950371902099892,4.290459441148391,0.0
shuffled_rates,0,103,0.09853292781642932,4.844187086458591,0.0
shuffled_rates,0,107,0.09667364890456635,5.017279836814924,0.0
shuffled_rates,0,109,0.09578262852211514,4.727387818712341,0.0
shuffled_rates,0,113,0.09407208683835973,5.003946305945459,0.0
shuffled_rates,0,127,0.08873565094161139,4.919980925828125,0.0
shuffled_rates,0,131,0.0873704056661038,4.672828834461906,0.0
shuffled_rates,0,137,0.0854357657716761,4.6913478822291435,0.0
shuffled_rates,0,139,0.08481889296799709,4.9344739331306915,0.0
shuffled_rates,0,149,0.08192319205190406,4.634728988229636,0.0
shuffled_rates,0,151,0.08137884587711594,4.875197323201151,0.0
shuffled_rates,0,157,0.07980868844676221,5.117993812416755,0.0
shuffled_rates,0,163,0.07832604499879574,5.198497031265826,0.0
shuffled_rates,0,167,0.07738232325341368,5.2832037287379885,0.0
shuffled_rates,0,173,0.07602859212697055,5.351858133476067,0.0
shuffled_rates,0,179,0.07474350927519359,5.187385805840755,0.0
shuffled_rates,0,181,0.07432941462471664,5.262690188904886,0.0
shuffled_rates,0,191,0.07235746052924216,5.056245805348308,0.0
shuffled_rates,0,193,0.07198157507486945,5.153291594497779,0.0
shuffled_rates,0,197,0.07124704998790965,5.093750200806762,0.0
shuffled_rates,0,199,0.07088812050083358,5.293304824724492,0.0
shuffled_rates,0,211,0.06884283908215143,5.25227342804663,0.0
shuffled_rates,1,2,0.7071067811865475,1.0986122886681098,0.0
shuffled_rates,1,3,0.5773502691896258,0.6931471805599453,0.0
shuffled_rates,1,5,0.4472135954999579,1.6094379124341003,0.0
shuffled_rates,1,7,0.3779644730092272,1.9459101490553132,0.0
shuffled_rates,1,11,0.30151134457776363,2.3978952727983707,0.0
shuffled_rates,1,13,0.2773500981126146,2.5649493574615367,0.0
shuffled_rates,1,17,0.24253562503633297,2.833213344056216,0.0
shuffled_rates,1,19,0.22941573387056174,3.367295829986474,0.0
shuffled_rates,1,23,0.20851441405707477,3.1354942159291497,0.0
shuffled_rates,1,29,0.18569533817705186,2.9444389791664403,0.0
shuffled_rates,1,31,0.1796053020267749,3.8501476017100584,0.0
shuffled_rates,1,37,0.1643989873053573,3.4339872044851463,0.0
shuffled_rates,1,41,0.15617376188860607,3.6109179126442243,0.0
shuffled_rates,1,43,0.15249857033260467,3.713572066704308,0.0
shuffled_rates,1,47,0.14586499149789456,3.7612001156935624,0.0
shuffled_rates,1,53,0.13736056394868904,3.970291913552122,0.0
shuffled_rates,1,59,0.13018891098082389,4.110873864173311,0.0
shuffled_rates,1,61,0.12803687993289598,4.07753744390572,0.0
shuffled_rates,1,67,0.12216944435630522,4.2626798770413155,0.0
shuffled_rates,1,71,0.11867816581938533,4.204692619390966,0.0
shuffled_rates,1,73,0.11704114719613057,4.3694478524670215,0.0
shuffled_rates,1,79,0.1125087900926024,4.290459441148391,0.0
shuffled_rates,1,83,0.10976425998969035,4.48863636973214,0.0
shuffled_rates,1,89,0.105999788000636,4.61512051684126,0.0
shuffled_rates,1,97,0.10153461651336192,4.418840607796598,0.0
shuffled_rates,1,101,0.09950371902099892,4.574710978503383,0.0
shuffled_rates,1,103,0.09853292781642932,4.727387818712341,0.0
shuffled_rates,1,107,0.09667364890456635,4.6913478822291435,0.0
shuffled_rates,1,109,0.09578262852211514,4.919980925828125,0.0
shuffled_rates,1,113,0.09407208683835973,4.634728988229636,0.0
shuffled_rates,1,127,0.08873565094161139,4.672828834461906,0.0
shuffled_rates,1,131,0.0873704056661038,4.9344739331306915,0.0
shuffled_rates,1,137,0.0854357657716761,5.017279836814924,0.0
shuffled_rates,1,139,0.08481889296799709,4.875197323201151,0.0
shuffled_rates,1,149,0.08192319205190406,4.844187086458591,0.0
shuffled_rates,1,151,0.08137884587711594,5.003946305945459,0.0
shuffled_rates,1,157,0.07980868844676221,5.262690188904886,0.0
shuffled_rates,1,163,0.07832604499879574,5.198497031265826,0.0
shuffled_rates,1,167,0.07738232325341368,5.117993812416755,0.0
shuffled_rates,1,173,0.07602859212697055,5.056245805348308,0.0
shuffled_rates,1,179,0.07474350927519359,5.351858133476067,0.0
shuffled_rates,1,181,0.07432941462471664,5.2832037287379885,0.0
shuffled_rates,1,191,0.07235746052924216,5.093750200806762,0.0
shuffled_rates,1,193,0.07198157507486945,5.153291594497779,0.0
shuffled_rates,1,197,0.07124704998790965,5.187385805840755,0.0
shuffled_rates,1,199,0.07088812050083358,5.293304824724492,0.0
shuffled_rates,1,211,0.06884283908215143,5.25227342804663,0.0
